"","species","island","sex","culmen_length_mm","log_culmen_length"
"1","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.7,3.62966009445396
"2","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.2,3.64283551561253
"3","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.8,3.65842024662923
"4","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.6,3.70376806660769
"5","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.5,3.70130197411249
"6","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.1,3.69137633431252
"7","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42,3.73766961828337
"8","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.4,3.72328088083127
"9","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.6,3.70376806660769
"10","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.6,3.62700405039585
"11","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.3,3.72086249996699
"12","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.1,3.71600812150219
"13","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.6,3.72810016726722
"14","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.1,3.71600812150219
"15","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41,3.71357206670431
"16","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.8,3.63230910262554
"17","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",39.7,3.68135118769314
"18","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.2,3.64283551561253
"19","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",43.2,3.76584049525006
"20","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",45.6,3.81990771652034
"21","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42.2,3.74242022104197
"22","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42.7,3.75419892023458
"23","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50,3.91202300542815
"24","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50,3.91202300542815
"25","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.6,3.86283276123737
"26","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.7,3.84374416467485
"27","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8,3.8458832029236
"28","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49,3.89182029811063
"29","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.4,3.87949981372259
"30","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.3,3.89792408104864
"31","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.2,3.89589362349826
"32","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.7,3.88567903008854
"33","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.2,3.91601502669768
"34","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.3,3.83514196109219
"35","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.1,3.8308129500026
"36","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.8,3.86702563949741
"37","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50,3.91202300542815
"38","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.3,3.85651029549789
"39","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",59.6,4.0876555740713
"40","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.4,3.87949981372259
"41","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",44.4,3.79323946943818
"42","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.7,3.88567903008854
"43","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.6,3.90399083373088
"44","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.6,3.90399083373088
"45","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.5,3.92197333628131
"46","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.5,3.92197333628131
"47","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2,3.81109708683819
"48","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.5,3.88156379794344
"49","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.1,3.91402100809082
"50","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45,3.80666248977032
"51","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.5,3.8177123259569
"52","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4,3.91999117507732
"53","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.2,3.83297979808769
"54","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",54.3,3.99452422693989
"55","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8,3.90801498403061
"56","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5,3.90197266957464
"57","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.7,3.92592591059714
"58","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.4,3.83729945923221
"59","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.2,3.87535902105655
"60","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.6,3.88362353090645
"61","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1,3.93378449720966
"62","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2,3.81109708683819
"63","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.5,3.96081316959758
"64","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50,3.91202300542815
"65","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8,3.92789635458444
"66","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.3,3.93769075217672
"67","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.1,3.95316494875932
"68","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.2,3.95508249488859
"69","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5,3.90197266957464
"70","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8,3.92789635458444
"71","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.4,3.89995042419388
"72","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1,3.93378449720966
"73","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.9,4.02356438016105
"74","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.1,3.89385903480047
"75","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8,3.8458832029236
"76","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",53.4,3.97781074596615
"77","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.1,3.87328217711172
"78","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8,3.90801498403061
"79","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.5,3.94158180766969
"80","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.1,4.00914971615887
"81","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.8,3.8877303128591
"82","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4,3.91999117507732
"83","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.9,3.91002100275747
