"","species","island","sex","culmen_length_mm"
"1","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.7
"2","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.2
"3","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.8
"4","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.6
"5","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.5
"6","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.1
"7","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42
"8","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.4
"9","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",40.6
"10","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.6
"11","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.3
"12","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.1
"13","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.6
"14","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41.1
"15","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",41
"16","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",37.8
"17","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",39.7
"18","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",38.2
"19","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",43.2
"20","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",45.6
"21","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42.2
"22","Adelie Penguin (Pygoscelis adeliae)","Biscoe","MALE",42.7
"23","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50
"24","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50
"25","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.6
"26","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.7
"27","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8
"28","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49
"29","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.4
"30","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.3
"31","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.2
"32","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.7
"33","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.2
"34","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.3
"35","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.1
"36","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.8
"37","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50
"38","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",47.3
"39","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",59.6
"40","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.4
"41","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",44.4
"42","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.7
"43","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.6
"44","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.6
"45","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.5
"46","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.5
"47","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2
"48","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.5
"49","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.1
"50","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45
"51","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.5
"52","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4
"53","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.2
"54","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",54.3
"55","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8
"56","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5
"57","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.7
"58","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.4
"59","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.2
"60","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.6
"61","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1
"62","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",45.2
"63","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.5
"64","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50
"65","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8
"66","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.3
"67","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.1
"68","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",52.2
"69","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.5
"70","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.8
"71","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.4
"72","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.1
"73","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.9
"74","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.1
"75","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",46.8
"76","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",53.4
"77","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.1
"78","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.8
"79","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",51.5
"80","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",55.1
"81","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",48.8
"82","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",50.4
"83","Gentoo penguin (Pygoscelis papua)","Biscoe","MALE",49.9
